,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
54319,54320,57,75128,0,0,0,0,2,2,1,1,0,0,1,1,0,2,2,1,1,5,2,3,0,17,4,13,22,4,18,4,2,2
5588,5589,8,89307,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,4,4,0,1,1,0
20212,20213,16,23924,0,2,2,0,0,0,0,2,1,2,0,0,0,2,2,0,0,16,16,0,0,61,61,0,229,282,0,15,15,0
14115,14116,13,54089,0,2,2,1,2,2,0,1,0,0,3,3,0,4,4,1,1,18,18,1,1,129,127,2,514,530,8,16,15,1
51957,51958,55,78798,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,7,0,7,0,17,0,17,57,0,57,2,0,2
59251,59252,70,62545,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,3,1,2,0,4,1,3,5,1,4,3,1,2
1190,1191,2,38312,0,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,9,8,2,1,46,39,7,176,148,28,3,2,1
50328,50329,55,47896,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,3,3,0,1,1,0
9623,9624,9,97755,0,0,0,0,6,4,2,0,0,0,6,4,2,3,2,1,0,4,3,1,0,20,19,1,98,82,114,3,2,1
56866,56867,63,36184,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,2,0,2,1,0,1
61694,61695,76,120566,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,3,3,0,37,39,0,2,2,0
60215,60216,70,63777,0,1,1,0,2,2,0,3,0,3,0,0,0,3,3,0,0,1,1,0,0,4,4,0,7,7,0,3,3,0
29986,29987,23,21216,0,2,2,0,3,3,0,5,0,5,0,0,0,5,5,0,0,3,3,0,0,10,10,0,12,16,0,12,12,0
39923,39924,33,17454,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,4,4,0,14,14,0,1,1,0
51279,51280,55,77309,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,2,0,3,0,3,3,0,3,3,0,3
6321,6322,9,19771,0,0,0,0,54,52,2,0,0,0,54,52,2,27,26,1,0,131,131,1,1,876,873,3,19790,234748,48,318,316,2
6355,6356,9,20648,0,0,0,0,8,8,2,0,0,0,8,8,0,4,4,1,1,3,3,1,1,10,9,1,17,48,2,7,6,1
28894,28895,23,18584,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,8,8,0,8,8,0,8,8,0
65793,65794,79,110656,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,9,9,0,21,21,0,1,1,0
10856,10857,12,9315,0,1,1,0,1,1,0,2,1,2,0,0,0,2,2,0,0,7,7,0,0,17,17,0,56,58,0,3,3,0
16460,16461,13,77457,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
21786,21787,17,1759,0,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,4,1,3,0,18,1,17,50,2,98,4,2,2
16693,16694,13,78909,0,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,6,2,4,0,25,3,22,103,19,128,5,1,4
25277,25278,19,18168,0,0,0,0,3,1,2,1,1,1,2,0,2,3,1,2,0,24,16,9,1,189,116,73,1201,3077,204,27,19,8
53042,53043,57,32080,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,2,0,2,0,5,0,5,13,0,13,1,0,1
26255,26256,19,57445,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,19,0,19,1,0,1
72705,72706,94,110230,0,1,1,0,11,10,1,1,0,0,11,11,0,12,11,1,0,2,2,1,1,15,14,1,15,14,1,15,14,1
51909,51910,55,78704,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,3,0,8,0,8,112,0,112,2,0,2
65446,65447,79,108848,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,5,5,0,0,5,5,0,42,42,0,1,1,0
12422,12423,13,22512,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,65,65,0,1,1,0
67007,67008,81,107263,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,47,47,0,93,93,0,1,1,0
7739,7740,9,43156,0,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,2,1,1,0,2,1,1,3,4,2,2,1,1
50311,50312,55,47567,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,4,4,0,23,23,0,2,2,0
30945,30946,23,29787,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
37149,37150,32,11736,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0
55546,55547,59,28421,0,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,12,10,2,0,30,22,8,165,141,33,4,3,1
43908,43909,43,93442,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0
