,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
34317,34318,25,69277,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,109,103,12,8,461,436,26,1697,1328,356,2,1,1
58489,58490,68,66316,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,15,6,13,4,44,18,27,266,125,140,8,3,5
1461,1462,2,70985,1,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,10,1,10,1,14,2,13,117,10,110,5,2,3
11027,11028,12,17243,1,1,1,1,1,1,0,1,0,0,1,1,0,2,2,1,1,18,13,7,2,43,28,16,211,167,85,9,7,2
10961,10962,12,11474,1,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,9,6,5,2,20,15,6,355,34,325,6,4,2
11261,11262,12,24240,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,37,14,25,2,132,42,89,1761,353,2624,15,8,7
11635,11636,12,75006,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,8,8,3,3,65,61,7,687,823,84,12,10,2
73952,73953,99,127916,1,3,1,3,0,0,0,1,1,1,2,0,2,3,1,3,1,55,23,38,6,121,76,51,2516,747,5147,13,3,10
59700,59701,70,63085,1,1,1,1,2,1,1,2,1,1,1,1,0,3,2,2,1,67,44,29,6,636,237,403,2680,5239,1051,37,19,18
33476,33477,24,12300,1,1,1,0,5,4,1,2,1,1,4,4,0,6,5,1,0,7,7,1,1,152,68,85,743,668,174,14,13,1
8860,8861,9,72475,1,0,0,0,538,2,538,0,0,0,538,2,536,269,1,269,1,317,4,316,3,2012,6,2009,73039,152,1261908,1119,2,1117
11542,11543,12,72175,1,1,1,0,3,3,1,2,1,1,2,2,0,4,4,1,1,65,63,4,2,644,632,14,35491,78254,5710,41,39,2
27662,27663,19,114849,1,1,1,1,1,0,1,1,1,0,1,0,1,2,1,2,1,42,30,14,2,262,132,131,1572,1290,844,34,25,9
24747,24748,18,4332,1,1,1,0,3,2,1,2,1,1,2,2,0,4,3,1,0,1,1,1,1,32,32,1,69,74,7,10,9,1
64825,64826,78,108188,1,1,0,1,10,1,9,1,1,1,10,0,10,11,1,10,0,7,1,7,1,41,1,41,71,3,75,11,1,10
64311,64312,78,105227,1,0,0,0,5,1,4,1,1,1,4,0,4,5,1,4,0,5,1,5,1,8,1,8,14,3,11,5,1,4
11169,11170,12,22623,1,2,2,0,2,1,1,1,0,0,3,3,0,4,3,1,0,47,47,3,3,237,232,7,1476,1732,42,40,39,1
33436,33437,24,10844,1,1,1,0,44,43,1,2,1,1,43,43,0,45,44,1,0,44,44,1,1,722,722,1,2687,4489,24,161,158,3
41281,41282,40,68585,1,2,0,2,2,1,1,1,1,1,3,0,3,4,1,3,0,29,2,28,1,74,3,72,1038,23,1015,13,1,12
