,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
357,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
358,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
359,1,1,0,3,2,1,1,0,0,3,3,0,4,3,1,0,0
360,4,3,1,0,0,0,2,1,1,2,2,0,4,3,1,0,0
361,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
362,2,2,0,0,0,0,2,1,2,0,0,0,2,2,0,0,0
363,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
364,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
365,1,1,0,45,45,1,1,0,0,45,45,0,46,46,1,1,0
366,1,1,1,3,1,2,1,1,0,3,1,2,4,2,3,1,0
367,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
368,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
369,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
370,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
