,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
1612,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1613,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1614,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
1615,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
1616,0,0,0,9,1,8,2,1,1,7,0,7,9,1,8,0,0
1617,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
1618,1,0,1,2,1,1,1,1,1,2,0,2,3,1,2,0,0
1619,7,7,0,18,17,1,1,0,0,24,24,0,25,24,1,0,0
1620,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1621,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1622,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
1623,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1624,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1625,1,0,1,1,0,1,2,2,1,0,0,0,2,0,2,0,0
1626,0,0,0,20,20,2,0,0,0,20,20,0,10,10,1,1,0
1627,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
1628,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,0
1629,3,3,0,1,1,0,4,1,4,0,0,0,4,4,0,0,0
1630,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
1631,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1632,1,1,0,8,8,0,9,0,9,0,0,0,9,9,0,0,0
1633,2,2,1,1,1,0,1,0,0,2,2,0,3,3,1,1,0
1634,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
1635,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1636,2,2,0,3,2,1,1,0,0,4,4,0,5,4,1,0,0
1637,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1638,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1639,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
1640,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
1641,1,1,0,3,2,1,2,1,1,2,2,0,4,3,1,0,0
1642,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,0
1643,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1644,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
1645,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1646,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
1647,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1648,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
1649,0,0,0,16,14,2,0,0,0,16,14,2,8,7,1,0,0
1650,9,9,0,28,27,1,1,0,0,36,36,0,37,36,1,0,0
1651,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
1652,3,3,0,6,6,1,1,0,0,8,8,0,9,9,1,1,0
1653,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
1654,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
